productName,description,imageLink,price,rating,merchantName
OPPO A15 3/32GB Garansi Resmi OPPO 1 Tahun 3 GB 32 GB HItam Putih,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: OPPO,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.589.000,4.6,Distributor Ponsel
Iphone XS Max 64GB Second Original - Like New - Abu-abu,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/21/b72d246c-671d-454b-aa21-498bfa2a6953.jpg?ect=4g,Rp5.912.000,,Digital New Store
Oppo F5 4/32 GB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/6/ca1c5f46-3f9b-4f86-9213-d5a4ad860784.jpg?ect=4g,Rp1.049.000,4.6,Gloriaponsel
iPhone 11 Pro Max 256 GB Space Gray | Very Good,,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/6/7/677b0882-6365-4f73-b1c5-1389f1621634.jpg?ect=4g,Rp15.700.000,,Jagofon
APPLE IPHONE 7 32GB NEW ORIGINAL FU 4G LTE SILENT LL/A GARANSI 1TAHUN - RED,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/27/b8ca3e74-279c-4bf8-aefc-9e020da03216.jpg?ect=4g,Rp2.598.000,5.0,ZYPHONE
iPhone 11 Pro 64 GB Midnight Green | Good,,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/6/15/1ea67493-5c68-49c4-90c2-3891dabf183d.jpg?ect=4g,Rp12.360.000,,Jagofon
Xiaomi Redmi 9A 2/32 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Xiaomi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/22/49653ee3-0363-4523-adff-ff3407383173.jpg?ect=4g,Rp1.349.000,5.0,Gudang-HP
Xiaomi Redmi Note 10S 8/128 RAM 8GB ROM 128GB Garansi Resmi Xiaomi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: XIAOMI Garansi Resmi Katalog: Xiaomi Redmi Note 10S,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/12/f177c211-ee2d-44e8-8391-207a325330fc.jpg?ect=4g,Rp3.058.000,5.0,SFONE OMNI STORE
"""Xiaomi Redmi Note 10 Pro 8/128GB NFC 6.67"""" 108MP 5020mAh Smart HP""",Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Xiaomi x Gojek,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/02015971-ebba-48d0-a557-c6e3501fa141.png?ect=4g,Rp3.899.000,4.9,Xiaomi Official Store
Evercoss M6A 4/32 Ram 4GB Internal 32GB Garansi Resmi,Kondisi: Baru Berat: 400 Gram Kategori: Android OS Etalase: HP Evercoss,https://images.tokopedia.net/img/cache/200-square/attachment/2021/3/24/65580410/65580410_7d22b758-182e-4c9e-b090-c0c3472f454f.jpg?ect=4g,Rp885.000,4.9,dk-cell
"""Infinix Note 10 Pro 6/64GB NFC – Helio G95 - 6.95"""" FHD+ 90 Hz - 64MP""",Kondisi: Baru Berat: 1.000 Gram Kategori: Android OS Etalase: Note Series,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/7/ab556117-230e-4d57-93b6-5e90f8638dcb.jpg?ect=4g,Rp2.694.000,4.9,Infinix Official Store
Samsung Galaxy A12 6/128 Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Samsung Katalog: Samsung Galaxy A12,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp2.479.000,4.9,PRISMA ROXY
XIAOMI Mi POCO X3 Pro 6/128GB NFC Snapdragon™ 860 48MP 5160mAh,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Poco,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp3.499.000,4.9,Xiaomi Official Store
Infinix Note 10 Pro 8/128 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Infinix Resmi Katalog: HP 8,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp2.757.000,5.0,Gudang-HP
Infinix Hot 10 S 6/128 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Infinix Resmi Katalog: Infinix Hot 6,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.985.000,5.0,Gudang-HP
Xiaomi Redmi 9A 3/32 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Xiaomi Resmi,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.413.000,4.9,Gudang-HP
(IBOX) iPhone 12 | 12 Mini 64GB 128GB 256GB Purple Green Black Blue,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/13/c035e1a3-6af7-4368-bad8-fad87873ad43.jpg?ect=4g,Rp10.490.000,5.0,Putra Group
samsung a52s 5g 8/256 garansi sein,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/2/e05c3a27-4946-4329-9766-5b5a2982094e.jpg?ect=4g,Rp6.075.000,5.0,Pusat Grosir HP
Advan G5 Plus 3/32GB Garansi Resmi Advan 3 GB 32 GB Hitam Hijau,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/4/d43c0536-7bf2-426c-ad0a-7434fd067699.jpg?ect=4g,Rp1.055.000,5.0,Distributor Ponsel
Xiaomi Redmi 3s Ram 3/32GB Original Garansi 1 Tahun,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/8/56f4cf6b-71e7-423f-8137-ec0acb17bfae.png?ect=4g,Rp690.500,5.0,Digital New Store
APPLE iPhone XR 64GB/128GB/256GB - Second Ex Inter,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/20/4a7bac4d-cf57-4f17-a381-3bd557911a13.jpg?ect=4g,Rp4.940.000,5.0,AMPM express
Xiaomi Redmi Note 10S 6/64G NFC Quad Kamera Layar 6.43” Super AMOLED,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Xiaomi x Gojek,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/23/6cdcfd34-4698-430a-97da-19ee0ed3f19c.jpg?ect=4g,Rp2.699.000,4.9,Xiaomi Official Store
Samsung Galaxy S20 Plus Smartphone [128GB/ 8GB],Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: SAMSUNG Katalog: Samsung Galaxy S20 Plus,https://images.tokopedia.net/img/cache/200-square/product-1/2021/4/10/10915281/10915281_43853a67-afa3-4d61-bef1-4ed40ef71507.jpg?ect=4g,Rp9.000.000,4.9,jikalaku
Iphone 7 second bekas 128Gb lecet body halus,Kondisi: Bekas Berat: 330 Gram Kategori: iOS Etalase: Semua Etalase,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/31/51778b97-4891-4ba7-9242-3a751c17811f.jpg?ect=4g,Rp1.925.000,4.9,AA Store168
"""Infinix Smart 5 2/32 & 3/64 GB Garansi Resmi, IMEI terdaftar""",Kondisi: Baru Berat: 400 Gram Kategori: Android OS Etalase: Infinix,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/9/8/0d146968-8ab6-40bc-9f31-1656f2f3f6a7.jpg?ect=4g,Rp1.185.000,5.0,duniagadgetku
Xiaomi Redmi 9A 3/32 Garansi Resmi TAM,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Xiaomi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/20/5674053d-b012-45a9-ab96-51358d254c81.jpg?ect=4g,Rp1.415.000,5.0,PRISMA ROXY
Infinix Hot 10 Play [4GB/ 64GB] - Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: INFINIX,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.536.000,5.0,jikalaku
Infinix Note 10 6/128 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Infinix Resmi,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp2.168.000,5.0,Gudang-HP
VIVO Y12S 3/32GB GARANSI RESMI VIVO INDONESIA,Kondisi: Baru Berat: 400 Gram Kategori: Android OS Etalase: VIVO Katalog: vivo Y12s,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.599.000,5.0,duniagadgetku
Infinix Hot 10S 6/128GB - Garansi Resmi Infinix Indonesia,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: INFINIX Katalog: Infinix Hot 6,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.985.000,4.9,Wahana Selular
Infinix Hot 10 S 4/64 GB Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Infinix Resmi,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp1.680.000,5.0,Gudang-HP
SAMSUNG A21s RAM 6/128GB RESMI,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/6/2f3cfae2-e595-4d15-91f6-419832de2974.png?ect=4g,Rp2.900.000,5.0,langitcel
